Date,PM2.5,WD,WS,BB,BC 370,BC 470,BC 520,BC 590,BC 660,BC 880,BC 950,Babs 1,Babs 2,Babs 3,Babs 4,Babs 5,Babs 6,Babs 7,Babs 950 b,Babs 950 f,Babs 470 b,Babs 470 f,Fr,BCff,BCbb,BC,Babs 470,Babs 950,Angstrom
3/1/2021 0:00,15,234,0.8,16.8,1045,990,952,905,873,847,846,19.3,14.4,12.51,10.48,9.04,6.58,6.08,0.48,5.6,2.24,12.15,0.85,721.14,126.25,847,14.4,6.08,1.225
3/1/2021 1:00,11,233,0.7,16.5,1030,988,953,908,875,849,846,19.02,14.37,12.53,10.51,9.05,6.6,6.09,0.46,5.63,2.16,12.2,0.85,724.07,124.79,849,14.37,6.09,1.22
3/1/2021 2:00,13,198,0.4,16.8,1123,1077,1036,986,950,922,920,20.74,15.66,13.62,11.42,9.84,7.16,6.61,0.52,6.1,2.44,13.22,0.85,784.61,137.37,922,15.66,6.61,1.224
3/1/2021 3:00,13,76,0.4,16.3,1164,1129,1088,1036,998,970,968,21.5,16.41,14.29,12,10.33,7.53,6.96,0.52,6.44,2.44,13.97,0.86,829.31,140.34,970,16.41,6.96,1.219
